campground_id,globalid,site_cn,site_id,objectid,root_cn,parent_cn,name,public_site_name,site_name,recarea_name,site_subtype,site_subtype_raw,recarea_id,recid_extracted,fee_charged,fee_charged_raw,fee_type,fee_description,total_capacity,total_capacity_raw,water_availability,water_availability_raw,restroom_availability,restroom_availability_raw,directions,site_directions,closest_towns,operational_hours,official_url,usda_portal_url,rec1stop_url,latitude,longitude,last_update
{001057FC-122F-4FE6-84D4-6EBB2263E074},{001057FC-122F-4FE6-84D4-6EBB2263E074},5168.006251,62630,1305363,5168.006251,,Choctaw Lake Recreation Area,Choctaw Lake Recreation Area,CHOCTAW LAKE REC AREA,Choctaw Lake Rec Area,CAMPGROUND,CAMPGROUND,28861,28861,YES,Y,EXPANDED AMENITY FEE,Overnight Use: Single Site with electric hook-up: $20 per night Day Use: $5 per vehicle per day,820,820,AVAILABLE,"Yes, drinking water is available from faucets",FLUSH,Flush toilet(s),"From Ackerman, travel 2.5 miles south on MS Hwy 15. Turn left onto Choctaw Lake Road. Travel 1 mile east to the main entrance.",,"Ackerman, MS",,https://www.fs.usda.gov/recarea/mississippi/recarea/?recid=28861,https://www.fs.usda.gov/recarea/mississippi/recarea/?recid=28861,,33.27527778,-89.14611111,2025/12/22 13:41:27+00
{001D98CA-57F9-4517-8E65-B74DCCAE307F},{001D98CA-57F9-4517-8E65-B74DCCAE307F},5217.002431,82036,1309784,5217.002431,,Upper Fir,Upper Fir,UPPER FIR,Upper Fir,GROUP CAMPGROUND,GROUP CAMPGROUND,,,YES,Y,,Overnight Use: Group Site $123 per night (up to 50 people); $283 per night (51-120 people),120,120,AVAILABLE,onsite,VAULT,Vault Toliets,,,,,,,https://www.recreation.gov/camping/campgrounds/231889,32.96901,-105.73101,2025/12/22 12:26:35+00
{001E13B8-6C7E-43AD-B275-43BE298144F5},{001E13B8-6C7E-43AD-B275-43BE298144F5},5009.007131,26736,1299980,5009.007131,,Cass Lake,Cass Lake,CASS LAKE,Cass Lake,CAMPGROUND,CAMPGROUND,,,YES,Y,EXPANDED AMENITY FEE,Overnight Use: $14 per night,60,60,AVAILABLE,"Potable water is available at the Campground.
",VAULT,Vault toilets are available at the Campground.,,,Cass Lake,,,,https://www.recreation.gov/camping/campgrounds/233140,47.37958,-94.528962,2026/04/02 08:55:34+00
{00269046-421D-4541-9783-C300CA73B834},{00269046-421D-4541-9783-C300CA73B834},5230.001621,03431,1297178,5230.001621,,Spruce Grove Campground,Spruce Grove Campground,SPRUCE GROVE,Spruce Grove Campground,CAMPGROUND,CAMPGROUND,12884,12884,YES,Y,EXPANDED AMENITY FEE,,135,135,AVAILABLE,"Yes, drinking water is available from a hand pump",VAULT,Vault toilet(s),From Lake George turn right onto County Road 77 and travel 12 miles and the campground is on the right.,"Located in south central Colorado, 43 miles southwest of Pueblo. 18 miles south on interstate 25 to exit 74. Go west on state highway 165. Paved access road.","Lake George, CO",Quiet hours are 10:00 p.m. until 6:00 a.m.,https://www.fs.usda.gov/recarea/psicc/recarea/?recid=12884,https://www.fs.usda.gov/recarea/psicc/recarea/?recid=12884,https://www.recreation.gov/camping/campgrounds/234686,39.13568817,-105.463977,2025/04/09 14:38:28+00
{004D943A-FAC2-4095-8418-4D764FBB1673},{004D943A-FAC2-4095-8418-4D764FBB1673},5219.003721,9538,1290785,5219.003721,,East Fork Campground,East Fork Campground,EAST FORK CG,East Fork Campground,CAMPGROUND,CAMPGROUND,,,YES,Y,,Overnight Use: Single Site: $35 per night Additional Vehicle Fee: $10 per vehicle per night,670,670,AVAILABLE,"Yes, drinking water is available from a hand pump",FLUSH,Flush toilet(s),From Mammoth Lakes go south on US 395 for approximately 13 miles. Take the Tom 's Place exit and follow Forest Service Highway 12 (Rock Creek Road) for about five miles. From Bishop go north on US 395 for about 30 miles. Take the Tom 's Place exit and follow Forest Service Highway 12 (Rock Creek Road) for about five miles. The campground will be on the left.,,"Crowley Lake, CA 10 Miles, Bishop, CA 24 miles",Quiet hours are 10:00 p.m. until 6:00 a.m.,https://www.fs.usda.gov/r05/inyo/recreation/east-fork-campground,https://www.fs.usda.gov/r05/inyo/recreation/east-fork-campground,https://www.recreation.gov/camping/campgrounds/232396,37.4872,-118.7199,2025/12/22 13:12:13+00
{006302EF-64AB-4C19-A2CB-46ED7F2C689F},{006302EF-64AB-4C19-A2CB-46ED7F2C689F},5485010371,14503,1287366,5485010371,,Island Campground,Island Campground,ISLAND,Island Campground,CAMPGROUND,CAMPGROUND,63720,63720,YES,Y,EXPANDED AMENITY FEE,,35,35,NEARBY,Water can be treated or filtered from nearby water sources,VAULT,Vault toilet(s),"From Roseburg, OR Turn onto OR-138 East / Northeast Diamond Lake Boulevard. Continue on OR-138 approximately 40 miles. Island Campground is on the right side of the road, shortly after the turnoff for Steamboat Creek Ball Field.",,"Glide, OR",,https://www.fs.usda.gov/recarea/umpqua/recarea/?recid=63720,https://www.fs.usda.gov/recarea/umpqua/recarea/?recid=63720,,43.339747,-122.7217,2025/08/01 16:16:00+00
{00667871-6BEB-4E77-BD6B-599D28B609D0},{00667871-6BEB-4E77-BD6B-599D28B609D0},5154.004291,11305,1298107,5154.004291,,Deerlick Springs Campground,Deerlick Springs Campground,DEERLICK SPRINGS CG-F,DEERLICK SPRINGS CG-F,CAMPGROUND,CAMPGROUND,6561,6561,NO,N,,No fees are required for this site,95,95,NOT_AVAILABLE,No water is available,VAULT,Vault toilet(s),"From CA 36 turn North on Forest Road 30N01 or from CA 299 turn on SR 3 South and turn Southeast on TC 335, then follow Forest Road 31N02 south to the campground.",,"Weaverville, CA",Open 24 hours/day,https://www.fs.usda.gov/recarea/stnf/recreation/camping-cabins/recarea/?recid=6561&actid=29,https://www.fs.usda.gov/recarea/stnf/recreation/camping-cabins/recarea/?recid=6561&actid=29,,40.47026159,-122.9255841,2025/12/22 13:41:18+00
{0073C61D-2F56-4D0B-AA59-9F69DC30BC33},{0073C61D-2F56-4D0B-AA59-9F69DC30BC33},5010.000471,18806,1310242,5010.000471,,Sather Lake Campground,Sather Lake Campground,SATHER LAKE,Sather Lake,CAMPGROUND,CAMPGROUND,79456,79456,YES,Y,EXPANDED AMENITY FEE,Overnight Use: Single Site: $10 per night,300,300,AVAILABLE,"Yes, drinking water is available from a hand pump",VAULT,Vault toilet(s),"Located 26 miles southwest of Watford City, ND or 22 miles northeast of Sidney, MT off of Highway 68.",,"Sidney, MT",Open 24 hours/day,https://www.fs.usda.gov/recarea/dpg/recreation/recarea/?recid=79456,https://www.fs.usda.gov/recarea/dpg/recreation/recarea/?recid=79456,https://www.recreation.gov/camping/campgrounds/10147280,47.67333333,-103.8113889,2025/12/22 13:22:27+00
{00751EC6-CD41-4939-B690-49452D21D3F4},{00751EC6-CD41-4939-B690-49452D21D3F4},5160.003401,3108,1307482,5160.003401,,Ponderosa Campground,Ponderosa Campground,PONDEROSA,Ponderosa Uinta,CAMPGROUND,CAMPGROUND,9853,9853,YES,Y,,Overnight Use: Single Site: $26.14 per night Double Site: $51.39 per night,120,120,AVAILABLE,Drinking Water,VAULT,Vault Toilet,"From Salt Lake City, Utah travel southbound on I-15 in Nephi, Utah. Take exit 225 for UT-132 (100 North) in Nephi, Utah. Turn left onto UT-132 (100 North). Turn left on Forest Road 015 (Nebo Loop Road). Travel approximately 14 miles. Turn left onto Forest Road 048 to access the campground. The campground will be on the left side of the road. From Scipio, Utah travel northbound on I-15. Take exit 225 for UT-132 (100 North). Turn right onto UT-132.Turn left on Forest Road 015 (Nebo Loop Road). Travel approximately 14 miles. Turn left onto Forest Road 048 to access the campground. The campground will be on the left side of the road.",,"Nephi, Utah",,https://www.fs.usda.gov/recarea/uwcnf/recarea/?recid=9853,https://www.fs.usda.gov/recarea/uwcnf/recarea/?recid=9853,https://www.recreation.gov/camping/campgrounds/232231,39.768536,-111.713992,2025/12/22 13:16:30+00
{007D0285-B037-44B8-9948-22F7F1EF00ED},{007D0285-B037-44B8-9948-22F7F1EF00ED},11115010451,95222,1284068,11115010451,,Warnica Springs Group Campground,Warnica Springs Group Campground,WARNICA SPRINGS,WARNICA SPRINGS,GROUP CAMPGROUND,GROUP CAMPGROUND,,,NO,N,,No fees are required for this site,35,35,UNKNOWN,,UNKNOWN,,,,,,,,,33.362057,-110.87777,2025/07/31 15:18:04+00
