park_id,name,state_or_territory,latitude,longitude,established_date,area_acres,recreation_visitors_2021,description
36c3d782-9ef8-5a38-aa3b-e31184889b93,Acadia,Maine,44.35,-68.21,1919-02-26,49071.40,4069098,"Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats."
d9edb478-194a-525e-9e68-8f3d79473ac2,American Samoa,American Samoa,-14.25,-170.68,1988-10-31,8256.67,8495,"The southernmost national park is on three Samoan islands in the South Pacific. It protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish."
6bbd61de-4b65-578d-85f9-baa04902aba9,Arches,Utah,38.68,-109.57,1971-11-12,76678.98,1806865,"This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch. Millions of years of erosion have created these structures in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks."
3d406dd1-2af1-5e4a-8b37-2b7fc4bed42c,Badlands,South Dakota,43.75,-102.5,1978-11-10,242755.94,1224226,"The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies within the drainage basin of the White River, in southwestern South Dakota. They contain the largest known assemblage of late Eocene and Oligocene mammal fossils. Wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs."
c749dd0c-6ae9-5933-8b24-d72a3699e1ba,Big Bend,Texas,29.25,-103.25,1944-06-12,801163.21,581220,"Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders. (BR)"
0c3f9809-5840-5e88-9d0f-225125c1495d,Biscayne,Florida,25.65,-80.08,1980-06-28,172971.11,705655,"The central part of Biscayne Bay, this mostly underwater park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and the peregrine falcon."
e8600fcb-0f28-501d-b5d8-f49cf9401060,Black Canyon of the Gunnison,Colorado,38.57,-107.72,1999-10-21,30779.83,308910,"The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist, which appears black when in shadow."
e70d0390-2631-5fb9-bc4f-7200195b6b25,Bryce Canyon,Utah,37.57,-112.18,1928-02-25,35835.08,2104600,"Bryce Canyon is a geological amphitheater on southern Utah's Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers."
7d8adb7a-6cd1-52ff-8ba3-712689ad0d86,Canyonlands,Utah,38.2,-109.93,1964-09-12,337597.83,911594,"This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park contains thousands of rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples."
daa5517d-6f83-5760-be42-395f155ed9d2,Capitol Reef,Utah,38.2,-111.17,1971-12-18,241904.50,1405353,"The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, eroded buttes, and sandstone domes, including one shaped like the United States Capitol."
